,0,1,2,3,4,5,6,7,8,9
0,0.0,-27.249727498995433,6.440298843283042,-42.29769015202382,-53.17946806140372,-48.72079665775976,-41.8679662483374,-41.734339013429846,-50.00471196098366,-16.950687530026098
1,27.249727498995433,0.0,17.82568069981684,14.410176755941357,17.97352826144772,44.283017818745975,27.81889405844318,-14.835525953868503,26.20300953549446,27.6988512547907
2,-6.440298843283042,-17.82568069981684,0.0,-1.654302127983808,-45.03313263029819,39.430933468547494,-18.704751006368685,-35.62877331694447,-21.31074969765714,8.357310375068554
3,42.29769015202382,-14.410176755941357,1.654302127983808,0.0,-43.23191687626987,20.662131890860564,15.120909090073027,-14.660194611525009,35.54512675501351,13.519057606004118
4,53.17946806140372,-17.97352826144772,45.03313263029819,43.23191687626987,0.0,65.33173639900353,21.609561699894986,-9.674301929043619,54.419856745122445,34.5044449096638
5,48.72079665775976,-44.283017818745975,-39.430933468547494,-20.662131890860564,-65.33173639900353,0.0,-62.85863106063009,-48.22054289286429,32.3060572422382,-3.8214027265546235
6,41.8679662483374,-27.81889405844318,18.704751006368685,-15.120909090073027,-21.609561699894986,62.85863106063009,0.0,-23.120052798734317,37.925584396728375,2.25245724936158
7,41.734339013429846,14.835525953868503,35.62877331694447,14.660194611525009,9.674301929043619,48.22054289286429,23.120052798734317,0.0,24.302353547696733,17.715656677333868
8,50.00471196098366,-26.20300953549446,21.31074969765714,-35.54512675501351,-54.419856745122445,-32.3060572422382,-37.925584396728375,-24.302353547696733,0.0,21.81165559700893
9,16.950687530026098,-27.6988512547907,-8.357310375068554,-13.519057606004118,-34.5044449096638,3.8214027265546235,-2.25245724936158,-17.715656677333868,-21.81165559700893,0.0
